交易日期,开盘价,最高价,最低价,收盘价,amount,当日净流入,北向资金流_低阈值,北向资金流_高阈值,signal,pos,equity_change,benchmark
2015-08-17,4058.11,4081.77,4009.99,4077.87,256939638.0,-436000000.0,250000000.00000036,1549000000.0,,0.0,0.0,0.8671448377932395
2015-08-18,4084.31,4103.05,3816.55,3825.41,319881070.0,-442000000.0,228666666.66666692,1548666666.6666667,,0.0,0.0,0.8134600990082166
2015-08-19,3748.27,3898.74,3668.19,3886.14,269049839.0,202000000.0,215666666.6666667,1548333333.3333333,,0.0,0.0,0.8263741217698993
2015-08-20,3848.4,3880.82,3761.45,3761.45,212167965.0,-661000000.0,211000000.0000001,1547999999.9999998,,0.0,0.0,0.7998592280080975
2015-08-21,3714.29,3757.78,3578.18,3589.54,217986403.0,-774000000.0,209000000.0,1545333333.333333,,0.0,0.0,0.7633031658812921
2015-08-24,3454.6,3468.15,3266.55,3275.53,255436652.0,8262000000.0,206000000.0,1542666666.6666665,1.0,0.0,0.0,0.6965300341935594
2015-08-25,3070.01,3200.11,3019.56,3042.93,276081306.0,8071000000.0,208000000.0,1547999999.9999998,,1.0,-0.0710631894346,0.6470684551656091
2015-08-26,3062.57,3192.93,2952.01,3025.69,308270623.0,7500000000.0,209000000.0,1548666666.6666667,,1.0,-0.0056604496023788,0.6434024292737696
2015-08-27,3092.81,3206.72,3028.4,3205.64,267294930.0,4899000000.0,210000000.0,1571666666.6666644,,1.0,0.059419747704674,0.681668169368695
2015-08-28,3246.24,3353.24,3223.62,3342.29,299498426.0,-2410000000.0,211000000.0000001,1616999999.999998,0.0,1.0,0.0424659443600972,0.7107263154313321
2015-08-31,3307.4,3368.28,3205.54,3366.54,280250403.0,-545000000.0,209000000.0,1594333333.3333316,,0.0,0.0,0.7158829933824404
2015-09-01,3296.53,3370.5,3190.58,3362.08,352458528.0,-1191000000.0,206000000.0,1571666666.6666644,,0.0,0.0,0.7149345899324634
2015-09-02,3220.85,3387.02,3213.64,3365.83,347789412.0,-2997000000.0,202000000.0000001,1549000000.0,,0.0,0.0,0.7157320143578926
2015-09-07,3347.29,3422.23,3240.24,3250.49,204224431.0,-86000000.0,136000000.00000095,1548666666.6666667,,0.0,0.0,0.6912053654968272
2015-09-08,3221.79,3340.22,3170.81,3334.02,154599631.0,4515000000.0,100000000.00000004,1548333333.3333335,1.0,0.0,0.0,0.7089677287651192
2015-09-09,3344.82,3426.65,3330.29,3399.3,220467421.0,-2767000000.0,103000000.0000007,1549000000.0,0.0,1.0,0.0192765304783999,0.7228492931629893
2015-09-10,3349.28,3398.32,3337.31,3357.56,144882971.0,3171000000.0,97000000.00000007,1548666666.6666667,1.0,0.0,0.0,0.7139734276916795
2015-09-11,3349.88,3383.13,3315.48,3347.19,108547508.0,66000000.0,100000000.00000004,1571666666.6666644,0.0,1.0,-0.0033194412899999,0.7117682833472262
2015-09-14,3367.64,3373.92,3187.57,3281.13,205457251.0,-654000000.0,94000000.0,1549000000.0,,0.0,0.0,0.6977208546688668
2015-09-15,3208.74,3240.08,3131.98,3152.23,143555641.0,1117000000.0,80666666.66666687,1548666666.6666665,,0.0,0.0,0.6703107190854498
2015-09-16,3149.16,3345.92,3131.37,3309.25,159709994.0,1904000000.0,87333333.33333343,1548333333.3333333,1.0,0.0,0.0,0.703700474627018
2015-09-17,3287.66,3354.91,3237.0,3237.0,169401881.0,405000000.0,94000000.00000012,1549000000.0,,1.0,-0.0219397292562399,0.6883367640304169
2015-09-18,3254.44,3280.88,3227.83,3251.27,106903481.0,2685000000.0,97000000.00000007,1548666666.6666665,1.0,1.0,0.0044062110780993,0.6913712297773165
2015-09-21,3222.6,3312.55,3211.93,3308.25,122788668.0,657000000.0,100000000.00000004,1571666666.6666656,,1.0,0.0175167842209764,0.7034878281135702
2015-09-22,3312.37,3371.41,3303.18,3339.03,146221985.0,93000000.0,103000000.00000142,1549000000.0,0.0,1.0,0.0091781268627191,0.7100330877974924
2015-09-23,3290.07,3315.94,3253.33,3263.03,123171439.0,-1143000000.0,97000000.00000007,1548666666.6666665,,0.0,0.0,0.6938719527754623
2015-09-24,3278.9,3300.86,3255.9,3285.0,102011238.0,-894000000.0,93666666.66666669,1548333333.3333333,,0.0,0.0,0.6985437966759096
2015-09-29,3197.22,3208.42,3159.04,3178.85,87150633.0,-1399000000.0,93000000.0,1547999999.9999998,,0.0,0.0,0.6759713692734294
2015-09-30,3195.9,3223.91,3186.77,3202.95,78559349.0,480000000.0,80333333.33333352,1545333333.333333,,0.0,0.0,0.6810961502475205
2015-10-08,3324.98,3337.33,3294.6,3296.48,132081768.0,4141000000.0,86666666.66666676,1542666666.6666665,1.0,0.0,0.0,0.70098497865029
2015-10-09,3302.36,3352.38,3293.97,3340.12,124352500.0,1869000000.0,93000000.0,1547999999.9999998,,1.0,0.0131027569508399,0.7102648724971504
2015-10-12,3351.14,3486.63,3347.25,3447.69,221400468.0,27000000.0,93333333.33333334,1548666666.6666665,0.0,1.0,0.0320481301676442,0.7331392579487266
2015-10-13,3422.48,3452.04,3413.97,3445.04,145433786.0,-313000000.0,86666666.66666676,1548333333.3333333,,0.0,0.0,0.7325757446880901
2015-10-14,3431.14,3458.7,3403.23,3406.11,152173938.0,-851000000.0,74000000.00000027,1547999999.9999998,,0.0,0.0,0.7242974159195685
2015-10-15,3403.39,3486.81,3402.32,3486.81,171158299.0,448000000.0,69333333.3333334,1545333333.333333,,0.0,0.0,0.7414579895548032
2015-10-16,3508.52,3537.54,3487.1,3534.06,208964709.0,-533000000.0,71666666.6666667,1542666666.6666665,0.0,0.0,0.0,0.7515055373152101
2015-10-19,3548.95,3573.0,3502.5,3534.18,207606744.0,-13000000.0,67000000.0000001,1539999999.9999993,,0.0,0.0,0.7515310548968238
2015-10-22,3453.2,3530.77,3442.31,3524.53,184305580.0,-1268000000.0,66333333.33333334,1533333333.3333323,,0.0,0.0,0.7494790160420529
2015-10-23,3536.84,3581.84,3515.82,3571.24,198294478.0,-874000000.0,65666666.66666667,1526666666.6666665,,0.0,0.0,0.759411734685198
2015-10-26,3614.7,3620.76,3561.19,3589.26,204248863.0,-959000000.0,65000000.000000015,1519999999.9999974,,0.0,0.0,0.7632436248575268
2015-10-27,3569.45,3601.05,3486.1,3592.88,192056140.0,-84000000.0,46333333.3333336,1489333333.3333297,,0.0,0.0,0.7640134052362078
2015-10-28,3575.8,3598.17,3517.21,3524.92,170977098.0,-967000000.0,33666666.66666672,1458666666.6666648,,0.0,0.0,0.7495619481822976
2015-10-29,3539.98,3561.81,3507.97,3533.31,127010446.0,-1488000000.0,27000000.00000014,1427999999.9999995,,0.0,0.0,0.7513460524301243
2015-10-30,3530.22,3574.47,3497.57,3534.08,139141914.0,-1119000000.0,15000000.00000017,1421999999.9999993,,0.0,0.0,0.751509790245479
2015-11-02,3489.23,3543.45,3474.71,3475.96,130002568.0,-967000000.0,1666666.6666667713,1415999999.9999995,,0.0,0.0,0.7391507748838949
2015-11-03,3484.72,3501.7,3452.62,3465.49,101401876.0,-851000000.0,-12999999.999999687,1409999999.9999998,,0.0,0.0,0.7369243658880968
2015-11-04,3477.16,3628.54,3477.16,3628.54,205423865.0,-2191000000.0,-44999999.999999546,1405999999.9999995,,0.0,0.0,0.771596379905755
2015-11-05,3630.78,3781.41,3627.3,3705.97,398046568.0,-3878000000.0,-64333333.33333328,1401999999.9999998,,0.0,0.0,0.7880615994420155
2015-11-06,3698.34,3801.71,3694.66,3793.37,298753076.0,-1354000000.0,-70999999.99999985,1397999999.9999976,,0.0,0.0,0.8066469047173501
2015-11-09,3796.38,3891.77,3796.38,3840.35,356804823.0,-1278000000.0,-79666666.66666654,1371333333.3333304,,0.0,0.0,0.8166370379191262
2015-11-10,3806.67,3876.49,3798.82,3833.24,286519603.0,-2556000000.0,-84666666.66666666,1344666666.666665,,0.0,0.0,0.8151251212085125
2015-11-11,3828.45,3843.11,3781.41,3833.65,232234296.0,-2636000000.0,-85999999.99999997,1317999999.9999983,,0.0,0.0,0.8152123062790262
2015-11-12,3841.74,3843.9,3771.27,3795.32,217537647.0,-1534000000.0,-101333333.3333331,1296999999.9999976,,0.0,0.0,0.8070615654185733
